"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-12-18","11:15:00",6060.21,"34 Dec 18 6085 C STO 3.95 | 34 Dec 18 6085 P STO 27.95 | 34 Dec 18 6115 C BTO 0.45 | 34 Dec 18 6055 P BTO 10.85",2055,5872.16,"2024-12-18","16:00:00",3000,"Expired",-32300,-46.228710462287104,34,2123045,32130,"",170,2.82,1.166,-2.96,12.56,7.79,-53.28
"2024-12-11","11:15:00",6078.82,"43 Dec 11 6105 C STO 0.25 | 43 Dec 11 6105 P STO 26.55 | 43 Dec 11 6135 C BTO 0.05 | 43 Dec 11 6075 P BTO 4.15",2255,6084.19,"2024-12-11","16:00:00",2081,"Expired",7267,7.494456762749446,43,2155345,32035,"",215,6.38,215.5,25.24,18.67,42.57,-4.21
"2024-11-29","11:15:00",6033.57,"54 Nov 29 6060 C STO 0.15 | 54 Nov 29 6060 P STO 26.75 | 54 Nov 29 6090 C BTO 0.05 | 54 Nov 29 6030 P BTO 2.75",2405,6032.38,"2024-11-29","13:00:00",2762,"Expired",-19548,-15.051975051975052,54,2148078,32130,"",270,9.61,230.5,5.24,29.59,33.06,-14.84
"2024-11-22","11:15:00",5959.54,"33 Nov 22 5985 C STO 1.75 | 33 Nov 22 5985 P STO 26.75 | 33 Nov 22 6015 C BTO 0.20 | 33 Nov 22 5955 P BTO 8.00",2025,5969.34,"2024-11-22","16:00:00",1566,"Expired",14982,22.419753086419753,33,2167626,32175,"",165,3.48,183.5,-4.35,15.18,32.35,-30.37
"2024-11-08","11:15:00",5996.14,"36 Nov 8 6020 C STO 0.75 | 36 Nov 8 6020 P STO 25.30 | 36 Nov 8 6050 C BTO 0.10 | 36 Nov 8 5990 P BTO 4.85",2105,5995.54,"2024-11-08","16:00:00",2446,"Expired",-12456,-16.43705463182898,36,2152644,32220,"",180,5.26,229,3.66,19.38,53.92,-21.14
"2024-11-07","11:15:00",5961.97,"33 Nov 7 5985 C STO 4.70 | 33 Nov 7 5985 P STO 27.75 | 33 Nov 7 6015 C BTO 0.70 | 33 Nov 7 5955 P BTO 11.25",2045,5973.1,"2024-11-07","16:00:00",1190,"Expired",28050,41.56479217603912,33,2165100,31515,"",165,2.72,124.5,18.17,14.76,65.53,-1.47
"2024-11-06","11:15:00",5895.54,"31 Nov 6 5920 C STO 3.50 | 31 Nov 6 5920 P STO 26.70 | 31 Nov 6 5950 C BTO 0.60 | 31 Nov 6 5890 P BTO 9.60",1995,5929.04,"2024-11-06","16:00:00",904,"Expired",33666,54.4360902255639,31,2137050,31155,"",155,2.96,84.5,82.13,30.65,69.42,-10.78
"2024-11-05","11:15:00",5764.06,"30 Nov 5 5790 C STO 1.70 | 30 Nov 5 5790 P STO 27.05 | 30 Nov 5 5820 C BTO 0.20 | 30 Nov 5 5760 P BTO 8.70",1980,5782.76,"2024-11-05","16:00:00",724,"Expired",37530,63.18181818181819,30,2103384,30600,"",150,3.23,71,9.74,41.63,63.43,-7.32
"2024-10-25","11:15:00",5851.97,"28 Oct 25 5875 C STO 1.10 | 28 Oct 25 5875 P STO 24.30 | 28 Oct 25 5905 C BTO 0.15 | 28 Oct 25 5845 P BTO 6.10",1910,5808.12,"2024-10-25","16:00:00",3000,"Expired",-30660,-57.32984293193717,28,2065854,30520,"",140,4.06,1.871,16.89,25.22,2.88,-62.3
"2024-10-14","11:15:00",5852.31,"29 Oct 14 5875 C STO 0.60 | 29 Oct 14 5875 P STO 23.20 | 29 Oct 14 5905 C BTO 0.05 | 29 Oct 14 5845 P BTO 4.20",1950,5859.85,"2024-10-14","16:00:00",1515,"Expired",12470,22.05128205128205,29,2096514,30450,"",145,5.6,126,14.78,22.5,72.05,-14.87
