"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-10-15","13:00:00",6663.4,"1 Oct 15 6700 C STO 1.65 | 1 Oct 15 6745 C BTO 0.15",145,6671.06,"2025-10-15","16:00:00",0,"Expired",142.5,98.27586206896551,1,101112.5,4355,"",2.5,0,11,1,43.96,-24.87,100,0
"2025-10-14","14:45:00",6669.83,"1 Oct 14 6680 C STO 2.00 | 1 Oct 14 6725 C BTO 0.05",190,6644.31,"2025-10-14","16:00:00",0,"Expired",187.5,98.68421052631578,1,100807.5,4310,"",2.5,0,40,1,-52.23,67.34,100,-52.63
"2025-10-14","14:30:00",6674.15,"1 Oct 14 6685 C STO 1.75 | 1 Oct 14 6730 C BTO 0.05",165,6644.31,"2025-10-14","16:00:00",0,"Expired",162.5,98.48484848484848,1,100970,4335,"",2.5,0,35,1,-52.23,71.66,100,-21.21
"2025-10-13","14:45:00",6653.78,"1 Oct 13 6665 C STO 1.65 | 1 Oct 13 6710 C BTO 0.05",155,6654.72,"2025-10-13","16:00:00",0,"Expired",152.5,98.38709677419355,1,100620,4345,"",2.5,0,33,1,70.02,31.25,100,0
"2025-10-10","14:45:00",6601.77,"1 Oct 10 6630 C STO 1.60 | 1 Oct 10 6675 C BTO 0.15",140,6552.51,"2025-10-10","16:00:00",0,"Expired",137.5,98.21428571428571,1,100467.5,4360,"",2.5,0,10.667,1,5.38,-138.72,100,-32.14
"2025-10-10","13:00:00",6613.68,"1 Oct 10 6665 C STO 2.00 | 1 Oct 10 6710 C BTO 0.25",170,6552.51,"2025-10-10","16:00:00",0,"Expired",167.5,98.52941176470588,1,100330,4330,"",2.5,0,8,1,5.38,-126.81,100,-14.71
"2025-10-09","14:45:00",6721.67,"1 Oct 9 6730 C STO 1.20 | 1 Oct 9 6775 C BTO 0.05",110,6727.98,"2025-10-09","15:13:00",255,"Stop Loss",-150,-136.36363636363635,1,100020,4390,"",2.5,2.5,24,52,6.78,-38.83,31.82,-159.09
"2025-10-09","13:00:00",6721.49,"1 Oct 9 6740 C STO 1.60 | 1 Oct 9 6785 C BTO 0.10",145,6735.11,"2025-10-09","16:00:00",0,"Expired",142.5,98.27586206896551,1,100162.5,4355,"",2.5,0,16,1,6.78,-39.01,100,-17.24
"2025-10-08","14:45:00",6748.37,"1 Oct 8 6755 C STO 1.05 | 1 Oct 8 6800 C BTO 0.05",95,6753.35,"2025-10-08","15:21:00",220,"Stop Loss",-130,-136.8421052631579,1,99997.5,4405,"",2.5,2.5,21,36,9.28,24.5,42.11,-126.32
"2025-10-08","13:00:00",6750.98,"1 Oct 8 6760 C STO 1.85 | 1 Oct 8 6805 C BTO 0.05",175,6753.72,"2025-10-08","16:00:00",0,"Expired",172.5,98.57142857142858,1,100170,4325,"",2.5,0,37,1,9.28,27.11,100,-17.14
"2025-10-07","13:00:00",6707.23,"1 Oct 7 6725 C STO 2.00 | 1 Oct 7 6770 C BTO 0.10",185,6714.59,"2025-10-07","16:00:00",0,"Expired",182.5,98.64864864864865,1,100127.5,4315,"",2.5,0,20,1,5.86,-38.91,100,-91.89
"2025-10-03","13:00:00",6746.56,"1 Oct 3 6755 C STO 2.00 | 1 Oct 3 6800 C BTO 0.10",185,6715.79,"2025-10-03","16:00:00",0,"Expired",182.5,98.64864864864865,1,99945,4315,"",2.5,0,20,1,6.79,24.42,100,0
"2025-10-01","13:00:00",6694.51,"1 Oct 1 6705 C STO 1.75 | 1 Oct 1 6750 C BTO 0.10",160,6699.66,"2025-10-01","13:09:00",360,"Stop Loss",-205,-128.125,1,99762.5,4340,"",2.5,2.5,17.5,31.5,-23.54,29.59,9.38,-115.62
"2025-09-30","13:00:00",6653.25,"1 Sep 30 6670 C STO 2.20 | 1 Sep 30 6715 C BTO 0.10",205,6663.52,"2025-09-30","14:16:00",455,"Stop Loss",-255,-124.39024390243902,1,99967.5,4295,"",2.5,2.5,22,39.5,-5.02,-2.94,63.41,-139.02
"2025-09-29","13:00:00",6656.08,"1 Sep 29 6665 C STO 2.40 | 1 Sep 29 6710 C BTO 0.10",225,6661.21,"2025-09-29","16:00:00",0,"Expired",222.5,98.88888888888889,1,100222.5,4275,"",2.5,0,24,1,17.88,-5.5,100,-2.22
