"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-04-15","10:31:00",5419.62,"2 Apr 15 5405 P BTO 17.50 | 2 Apr 15 5420 C BTO 24.15 | 2 Apr 15 5445 C STO 12.50 | 2 Apr 15 5380 P STO 10.70",-1855,5396.63,"2025-04-15","16:00:00",-837,"Expired",-2050.24,-55.26253369272237,2,206603.8,3710,"",14.24,0.56,0.011,29.5,30.02,6.02,7.63,2.7,-76.55
"2025-04-14","10:30:00",5438.92,"2 Apr 14 5425 P BTO 23.10 | 2 Apr 14 5440 C BTO 29.10 | 2 Apr 14 5465 C STO 17.50 | 2 Apr 14 5400 P STO 15.30",-1950,5405.97,"2025-04-14","16:00:00",-1903,"Expired",-108.24,-2.775384615384615,2,208654.04,3900,"",14.24,0.63,0.008,31.44,30.64,78.6,-3.04,7.95,-74.36
"2025-04-09","10:32:00",5018.96,"2 Apr 9 5005 P BTO 52.15 | 2 Apr 9 5020 C BTO 56.85 | 2 Apr 9 5045 C STO 44.40 | 2 Apr 9 4980 P STO 42.40",-2230,5456.9,"2025-04-09","16:00:00",-2500,"Expired",525.76,11.788340807174889,2,208762.28,4460,"",14.24,0.8,0.938,49.71,33.76,-17.49,53.68,14.8,-100
"2025-04-08","10:30:00",5253.01,"2 Apr 8 5240 P BTO 34.20 | 2 Apr 8 5255 C BTO 37.55 | 2 Apr 8 5280 C STO 25.25 | 2 Apr 8 5215 P STO 25.85",-2075,4982.77,"2025-04-08","16:00:00",-2500,"Expired",835.76,20.13879518072289,2,208236.52,4150,"",14.24,0.71,0.904,37.59,52.76,131.32,59.44,28.43,-4.34
"2025-03-24","10:30:00",5754.15,"3 Mar 24 5740 P BTO 6.95 | 3 Mar 24 5755 C BTO 11.05 | 3 Mar 24 5785 C STO 1.45 | 3 Mar 24 5710 P STO 2.45",-1420,5767.57,"2025-03-24","16:00:00",-1257,"Expired",-510.36,-11.980281690140846,3,207400.76,4260,"",21.36,0.22,0.009,18.39,17.58,50.52,36.07,28.87,-59.86
"2025-03-19","10:30:00",5651.65,"2 Mar 19 5640 P BTO 18.95 | 2 Mar 19 5650 C BTO 24.45 | 2 Mar 19 5680 C STO 10.65 | 2 Mar 19 5610 P STO 10.00",-2285,5675.29,"2025-03-19","16:00:00",-2529,"Expired",473.76,10.366739606126915,2,207911.12,4570,"",14.24,0.48,0.004,20.88,20.05,17.71,19.28,27.13,-17.94
"2025-03-14","10:30:00",5575.99,"2 Mar 14 5560 P BTO 15.60 | 2 Mar 14 5575 C BTO 23.30 | 2 Mar 14 5605 C STO 9.95 | 2 Mar 14 5535 P STO 8.85",-2020,5638.94,"2025-03-14","16:00:00",-3000,"Expired",1945.76,48.16237623762376,2,207437.36,4040,"",14.24,0.48,0.531,23.27,21.71,42.33,12.14,48.76,-0.25
"2025-03-12","12:15:00",5613.21,"2 Mar 12 5600 P BTO 14.35 | 2 Mar 12 5615 C BTO 18.80 | 2 Mar 12 5640 C STO 8.95 | 2 Mar 12 5570 P STO 6.35",-1795,5599.3,"2025-03-12","16:00:00",-70,"Expired",-3464.24,-96.49693593314763,2,205491.6,3590,"",14.24,0.46,0.143,24.99,23.99,52.77,-11.63,0,-96.1
"2025-03-07","10:30:00",5732.98,"2 Mar 7 5720 P BTO 22.35 | 2 Mar 7 5735 C BTO 28.00 | 2 Mar 7 5760 C STO 17.10 | 2 Mar 7 5690 P STO 12.75",-2060,5770.2,"2025-03-07","16:00:00",-2500,"Expired",865.76,21.01359223300971,2,208955.84,4120,"",14.24,0.59,0.281,24.37,23.26,-12.51,6.97,21.36,-35.92
"2025-02-26","10:30:00",5992.54,"3 Feb 26 5980 P BTO 8.55 | 3 Feb 26 5995 C BTO 12.55 | 3 Feb 26 6025 C STO 2.40 | 3 Feb 26 5950 P STO 2.75",-1605,5956.06,"2025-02-26","16:00:00",-2394,"Expired",2345.64,48.71526479750779,3,208090.08,4815,"",21.36,0.24,0.004,18.47,19.09,15.62,21.67,69.16,-23.05
"2025-02-13","10:30:00",6078.89,"3 Feb 13 6065 P BTO 6.50 | 3 Feb 13 6080 C BTO 9.70 | 3 Feb 13 6110 C STO 0.80 | 3 Feb 13 6035 P STO 2.25",-1325,6115.07,"2025-02-13","16:00:00",-3000,"Expired",5003.64,125.87773584905662,3,205744.44,3975,"",21.36,0.19,0.152,15.45,15,8.62,18.3,129.43,-25.28
"2025-02-10","10:30:00",6065.92,"3 Feb 10 6050 P BTO 5.05 | 3 Feb 10 6065 C BTO 10.65 | 3 Feb 10 6095 C STO 0.95 | 3 Feb 10 6020 P STO 1.50",-1335,6066.44,"2025-02-10","16:00:00",-144,"Expired",-3594.36,-89.74681647940076,3,200740.8,4005,"",21.36,0.16,0.042,15.96,15.75,20.41,19.52,7.12,-92.88
"2025-02-06","10:37:00",6072.69,"4 Feb 6 6060 P BTO 5.75 | 4 Feb 6 6075 C BTO 9.20 | 4 Feb 6 6105 C STO 1.05 | 4 Feb 6 6025 P STO 1.30",-1270,6083.57,"2025-02-06","16:00:00",-857,"Expired",-1680.48,-33.08031496062992,4,204335.16,5080,"",28.48,0.16,0.011,15.51,15.26,10.74,0.47,7.87,-88.98
"2025-02-05","10:43:00",6029.21,"3 Feb 5 6015 P BTO 6.50 | 3 Feb 5 6030 C BTO 10.80 | 3 Feb 5 6060 C STO 1.55 | 3 Feb 5 5985 P STO 1.90",-1395,6061.48,"2025-02-05","16:00:00",-3000,"Expired",4793.64,114.54336917562725,3,206015.64,4185,"",21.36,0.2,0.053,16.68,15.88,-17.43,8.76,115.05,-13.98
